model = BaggingRegressor(n_estimators=q)
q c a smape
12 4 5 0.386825392183
12 4 6 0.373567125357
12 4 7 0.391110021186
12 4 8 0.384725918532
12 4 9 0.372702851383
12 5 1 0.365610377294
12 5 2 0.357476478685
12 5 3 0.347495697258
12 5 4 0.341071495908
12 5 5 0.354091559433
12 5 6 0.343483882166
12 5 7 0.341503982948
12 5 8 0.340583082216
12 5 9 0.332143751287
12 6 1 0.353005823391
12 6 2 0.342321004918
12 6 3 0.331123170596
12 6 4 0.326831385614
12 6 5 0.321066835509
12 6 6 0.323199840665
12 6 7 0.320909372553
12 6 8 0.323368480818
12 6 9 0.323918983807
12 7 1 0.340287671657
12 7 2 0.323191782173
12 7 3 0.320902610256
12 7 4 0.319303797218
12 7 5 0.320250405871
12 7 6 0.318349963148
12 7 7 0.316355548075
12 7 8 0.318150108946
12 7 9 0.320298027714
12 8 1 0.358633749541
12 8 2 0.342059989475
12 8 3 0.323758212248
12 8 4 0.325006068799
12 8 5 0.320446512438
12 8 6 0.33419636119
12 8 7 0.332909964934
12 8 8 0.318831114937
12 8 9 0.324979038117
12 9 1 0.336158564219
12 9 2 0.33978244996
12 9 3 0.32635433101
12 9 4 0.330333349599
12 9 5 0.318047349161
12 9 6 0.331083679143
12 9 7 0.315106008065
12 9 8 0.314757218165
12 9 9 0.324101115036
13 1 1 0.45055654791
13 1 2 0.456478197238
13 1 3 0.459506966954
13 1 4 0.550055874341
13 1 5 0.493249548111
13 1 6 0.533043876765
13 1 7 0.529767018049
13 1 8 0.528309581816
13 1 9 0.551248185278
13 2 1 0.426404155256
13 2 2 0.463229193463
13 2 3 0.42550356513
13 2 4 0.451804745557
13 2 5 0.463386333336
13 2 6 0.457074472165
13 2 7 0.423747572719
13 2 8 0.434007053807
13 2 9 0.421878569088
13 3 1 0.379291359627
13 3 2 0.402140916227
13 3 3 0.425772865702
13 3 4 0.408364901067
13 3 5 0.413694215647
13 3 6 0.42427548436
13 3 7 0.391123043032
13 3 8 0.385313626989
13 3 9 0.404374876607
13 4 1 0.412427471219
13 4 2 0.364664093232
13 4 3 0.369082690799
13 4 4 0.403959240178
13 4 5 0.387593150132
13 4 6 0.373846984819
13 4 7 0.381668192484
13 4 8 0.378772731553
13 4 9 0.384087170332
13 5 1 0.36681755749
13 5 2 0.376675160948
13 5 3 0.336046715286
13 5 4 0.345529493467
13 5 5 0.336023226191
13 5 6 0.349006190262
13 5 7 0.348768202996
13 5 8 0.356684598008
13 5 9 0.345492052715
13 6 1 0.343766135794
13 6 2 0.339068510004
13 6 3 0.325841386646
13 6 4 0.327842861864
13 6 5 0.32171945131
13 6 6 0.320598640864
13 6 7 0.320425279403
